name,rarity,cost,effect,category,scaling,tags,image,archetype,strategy,test_idea,type,activation,unlock,probability,copyable,perishable,eternal,wiki_number
8 Ball,Common,5,1 in 4 chance for each played 8 to create a Tarot card when scored (Must have room),Utility,no,planet,8_Ball.png,Consumable Engine,Every scored 8 is a lottery ticket for a free Tarot — worth keeping your 8s around early while the build decides what it wants to be. Oops! All 6s doubles the odds.,Theory: playing 2+ 8s per round prints more Tarot value than a flat economy joker prints dollars. Track one run and count the Tarots.,Effect,On Scored,,1 in 4,1,1,1,26
Abstract Joker,Common,4,+3 Mult for each Joker card,+Mult,no,+mult|joker-synergy,Abstract_Joker.png,Mult Battery,+3 Mult per joker means it peaks at +15 with a full board — a solid early bridge that quietly becomes your worst slot late. Classic 'sell it when the shop offers a real payoff' joker.,In the optimizer: at what point does a ×1.5 joker beat Abstract's +15? Compare on your usual hand at level 3.,Additive Mult,Independent,,,1,1,1,34
Acrobat,Uncommon,6,X3 Mult on final hand of round,xMult,no,hand-timing|xmult,Acrobat.png,xMult Payoff,"×3 but only on your final hand of the round — a closer, not an opener. Strongest when you can bank one giant hand: pair it with hand-size and level investment in a single hand type.",Toggle 'final hand' in the optimizer and see whether Acrobat's ×3 finish beats spreading two medium hands.,Multiplicative Mult,Independent,Play 200 hands,,1,1,1,108
Ancient Joker,Rare,8,"Each played card with [suit] gives X1.5 Mult when scored, suit changes at end of round",xMult,no,xmult,Ancient_Joker.png,xMult Payoff,"×1.5 per matching-suit card scored, but the suit changes every round. Wild cards and Smeared Joker soften the roulette; mono-suit decks make it a coin flip between dead and dominant.",Set Ancient's suit in the optimizer to your flush suit vs. off-suit — measure exactly how much a bad round costs.,Multiplicative Mult,On Scored,,,1,1,1,99
Arrowhead,Uncommon,7,Played cards with Spades suit give +50 Chips when scored,+Chips,no,+chips|suit:Spades,Arrowhead.png,Chip Battery,+50 chips per scored Spade is a huge flat battery for spade flushes — chips are usually the scarce half of the equation once your Mult engine is running.,"Theory: on a lvl-2 spade flush, Arrowhead outscores a generic +Mult joker until your mult passes ~20. Verify.",Chips,On Scored,Have at least 30 cards with Spade suit in your deck,,1,1,1,118
Astronomer,Uncommon,8,All Planet cards and Celestial Packs in the shop are free,Utility,no,planet|shop,Astronomer.png,Economy,Free Planet cards and packs turn every shop into hand-leveling. It doesn't score — it compounds your base values so everything else scores harder next ante.,Track hand levels over 3 antes with vs. without buying celestials — how many levels does 'free' actually buy?,Effect,N/A (Passive),Discover every Planet card,,0,1,1,143
Banner,Common,5,+30 Chips for each remaining discard,+Chips,no,+chips|discards,Banner.png,Chip Battery,+40 chips per remaining discard rewards not discarding — which fights against digging for your hand. Great with disciplined flush/pair builds that don't need to dig.,In-game theory: playing greedy (0 discards used) with Banner vs. digging for the better hand — which clears the blind more often?,Chips,Independent,,,1,1,1,22
Baron,Rare,8,Each King held in hand gives X1.5 Mult,xMult,no,face-cards|held-in-hand|xmult,Baron.png,xMult Payoff,"×1.5 per King held in hand is one of the great late-game engines: hoard Kings, play cheap hands, let the held Kings multiply. Wants retriggers (Mime) and steel Kings.",Optimizer: play a junk pair while holding 3 Kings — watch Baron beat a 'real' hand played without it.,Multiplicative Mult,On Held,,,1,1,1,72
Baseball Card,Rare,8,Uncommon Jokers each give X1.5 Mult,xMult,no,joker-synergy|xmult,Baseball_Card.png,xMult Payoff,Every Uncommon joker gains ×1.5 — it converts a board of utility Uncommons into a multiplicative wall. Count your Uncommons before buying; 3+ makes it absurd.,Add your actual lineup in the optimizer and count Uncommons — each is worth ×1.5. Compute your board's hidden total.,Multiplicative Mult,On Other Jokers,,,1,1,1,92
Blackboard,Uncommon,6,X3 Mult if all cards held in hand are Spades or Clubs,xMult,no,held-in-hand|suit:Clubs|suit:Spades|xmult,Blackboard.png,xMult Payoff,"×3 if every held card is Spades/Clubs — demands deck sculpting (The Moon/The World tarots) or playing your whole hand. Painful mid-run, monstrous in a black-suit deck.",Optimizer: full 5-card plays leave 3 held cards — how often can your current deck keep those 3 all black?,Multiplicative Mult,Independent,,,1,1,1,48
Bloodstone,Uncommon,7,1 in 2 chance for played cards with Hearts suit to give X1.5 Mult when scored,xMult,no,probability|suit:Hearts|xmult,Bloodstone.png,xMult Payoff,Coin-flip ×1.5 on each scored Heart: streaky but massive in heart flushes. Expected value is fine; variance is the real cost — don't bet a must-win blind on it.,Compare EV mode vs. Optimist mode on a heart flush in the optimizer — that gap is the risk you're accepting.,Multiplicative Mult,On Scored,Have at least 30 cards with Heart suit in your deck,1 in 2,1,1,1,117
Blue Joker,Common,5,+2 Chips for each remaining card in deck,+Chips,no,+chips|deck-size,Blue_Joker.png,Chip Battery,"+2 chips per card left in deck starts big and shrinks as you thin. It's an anti-synergy with deck-thinning builds — strongest in fat, unsculpted decks early.",Theory: Blue Joker is worth ~+100 chips in ante 1 and ~+60 by ante 5 in a thinning build. Track your deck count.,Chips,Independent,,,1,1,1,53
Blueprint,Rare,10,Copies ability of Joker to the right,Utility,no,copycat|joker-synergy,Blueprint.png,Utility/Glue,Copies the joker to its right — position is everything. Point it at your best ×Mult or scaling joker and it's the strongest card in the game; point it at economy and you've wasted a Rare.,"Optimizer: put Blueprint left of your best ×Mult, then left of a +Mult — the score gap is the whole lesson.",Effect,,Win a run,,1,1,1,123
Bootstraps,Uncommon,7,+2 Mult for every $5 you have,+Mult,no,+mult|economy,Bootstraps.png,Mult Battery,+2 Mult per $5 rewards hoarding cash — synergizes with interest-cap economy and punishes shop sprees. A budget bridge that gets better the greedier your wallet.,"At $25 it's +10 Mult: in the optimizer, find the cash level where Bootstraps beats your other flat-mult option.",Additive Mult,Independent,Have at least 2 Polychrome Jokers at the same time.,,1,1,1,145
Brainstorm,Rare,10,Copies the ability of leftmost Joker,Utility,no,copycat|joker-synergy,Brainstorm.png,Utility/Glue,Copies your LEFTMOST joker — so it rewards planning your board like a sentence. Leftmost slot becomes sacred: park the thing worth copying there and never move it.,Optimizer: Brainstorm + your leftmost ×Mult vs. moving that ×Mult right — prove why slot 1 matters.,Effect,,Discard a Royal Flush.,,1,1,1,138
Bull,Uncommon,6,+2 Chips for each $1 you have,+Chips,no,+chips|economy,Bull.png,Chip Battery,+2 chips per dollar makes your savings account part of the scoring engine. With $40 banked that's +80 chips every hand — economy builds get a combat stat for free.,"At your usual bank balance, does Bull out-chip a dedicated chip joker? Check in the optimizer.",Chips,Independent,,,1,1,1,93
Burglar,Uncommon,6,"When Blind is selected, gain +3 Hands and lose all discards",Utility,no,blind-aware|discards,Burglar.png,Utility/Glue,"+3 hands, zero discards: it converts safety into tempo. Strong with Banner-style no-discard play and card draw; brutal if your build needs to dig for combos.",In-game: one full ante never discarding — did the extra hands out-earn the lost selection?,Effect,On Blind Select,,,1,1,1,47
Burnt Joker,Rare,8,Upgrade the level of the first discarded poker hand each round,Utility,no,discards,Burnt_Joker.png,Utility/Glue,Upgrades the level of the first hand you discard each round — turns waste into investment. Deliberately discard your money hand first to level it while dumping junk.,Theory: Burnt Joker levels your main hand ~2×/ante. Compare against buying planets for the same effect.,Effect,On Discard,Sell 50 cards.,,1,1,1,144
