name,cost,tier,effect,requires,image
Blank,10,Base,Does nothing?,,Blank.png
Clearance Sale,10,Base,All cards and packs in shop are 25% off,,Clearance_Sale.png
Crystal Ball,10,Base,+1 consumable slot,,Crystal_Ball.png
Director's Cut,10,Base,"Reroll Boss Blind 1 time per Ante, $10 per roll",,Director's_Cut.png
Grabber,10,Base,Permanently gain +1 hand per round,,Grabber.png
Hieroglyph,10,Base,"-1 Ante, -1 hand each round",,Hieroglyph.png
Hone,10,Base,"Foil, Holographic, and Polychrome cards appear 2X more often",,Hone.png
Magic Trick,10,Base,Playing cards can be purchased from the shop,,Magic_Trick.png
Overstock,10,Base,+1 card slot available in shop,,Overstock.png
Paint Brush,10,Base,+1 hand size,,Paint_Brush.png
Planet Merchant,10,Base,Planet cards appear 2X more frequently in the shop,,Planet_Merchant.png
Reroll Surplus,10,Base,Rerolls cost $2 less,,Reroll_Surplus.png
Seed Money,10,Base,Raise the cap on interest earned in each round to $10,,Seed_Money.png
Tarot Merchant,10,Base,Tarot cards appear 2X more frequently in the shop,,Tarot_Merchant.png
Telescope,10,Base,Celestial Packs always contain the Planet card for your most played poker hand,,Telescope.png
Wasteful,10,Base,Permanently gain +1 discard each round,,Wasteful.png
Antimatter,10,Upgraded,+1 Joker Slot,Redeem Blank 10 total times,Antimatter.png
Glow Up,10,Upgraded,"Foil, Holographic, and Polychrome cards appear 4X more often","Have at least 5 Joker cards with Foil, Holographic, or Polychrome (or Negative) effect",Glow_Up.png
Illusion,10,Upgraded,"Playing cards in shop may have an Enhancement, Edition, and/or a Seal",Buy a total of 20 Playing cards from the shop,Illusion.png
Liquidation,10,Upgraded,All cards and packs in shop are 50% off,Redeem at least 10 Voucher cards in one run,Liquidation.png
Money Tree,10,Upgraded,Raise the cap on interest earned in each round to $20,Max out the interest per round earnings for ten consecutive rounds,Money_Tree.png
Nacho Tong,10,Upgraded,Permanently gain an additional +1 hand per round,"Play a total of 2,500 cards",Nacho_Tong.png
Observatory,10,Upgraded,Planet cards in your consumable area give X1.5 Mult for their specified poker hand,Use a total of 25 Planet cards from any Celestial Pack,Observatory.png
Omen Globe,10,Upgraded,Spectral cards may appear in any of the Arcana Packs,Use a total of 25 Tarot cards from booster packs,Omen_Globe.png
Overstock Plus,10,Upgraded,+1 card slot available in shop,Spend a total of $2500 at the shop,Overstock_Plus.png
Palette,10,Upgraded,+1 hand size,Reduce your hand size down to five cards.,Palette.png
Petroglyph,10,Upgraded,"-1 Ante, -1 discard each round",Reach Ante 12,Petroglyph.png
Planet Tycoon,10,Upgraded,Planet cards appear 4X more frequently in the shop,Buy a total of 50 Planet cards from the shop,Planet_Tycoon.png
Recyclomancy,10,Upgraded,Permanently gain an additional +1 discard each round,Discard a total of 2500 cards,Recyclomancy.png
Reroll Glut,10,Upgraded,Rerolls cost an additional $2 less,Reroll the shop a total of 100 times,Reroll_Glut.png
Retcon,10,Upgraded,"Reroll Boss Blind unlimited times, $10 per roll",Discover 25 Blinds,Retcon.png
Tarot Tycoon,10,Upgraded,Tarot cards appear 4X more frequently in the shop,Buy a total of 50 Tarot cards from the shop,Tarot_Tycoon.png
